ID,wk1,wk2,wk3,wk4,wk5,wk6,wk7,wk8,wk9,wk10,yr1,yr2,north,south,year,region
YL-K00,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2015,north
YL-F57,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F56,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2015,south
YL-F53,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
YL-F51,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2015,south
YL-F50,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2015,south
YL-F46,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2015,south
YL-F44,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
YL-F43,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2015,south
YL-F40,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2015,south
YL-F38,0,0,1,1,1,1,0,1,0,0,0,1,0,1,2015,south
YL-F35,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F34,0,0,0,1,0,1,1,1,0,0,0,1,0,1,2015,south
YL-F32,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F31,0,0,1,0,1,0,0,1,0,1,0,1,0,1,2015,south
YL-F29,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2015,south
YL-F28,0,0,1,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F26,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2015,south
YL-F24,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2015,south
YL-F23,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2015,south
YL-F21,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2015,south
YL-F20,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2015,south
YL-F18,0,1,1,0,0,1,0,0,0,0,0,1,0,1,2015,south
YL-F17,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2015,south
YL-E20,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,north
YL-E19,0,0,0,1,0,1,1,1,1,0,0,1,1,0,2015,north
YL-E18,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2015,north
YL-E15,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2015,north
YL-E14,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2015,north
YL-E13,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
YL-E12,0,0,0,1,1,0,0,1,0,1,0,1,1,0,2015,north
YL-E10,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
YL-E08,1,1,1,1,1,0,1,1,1,0,0,1,1,0,2015,north
YL-E06,0,0,0,0,1,1,1,1,0,0,0,1,1,0,2015,north
YL-E05,0,0,0,1,0,0,0,1,1,1,0,1,1,0,2015,north
YL-E04,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
YL-E03,0,0,0,1,0,0,1,1,1,1,0,1,1,0,2015,north
YL-E02,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-E01,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-B85,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2015,north
YL-B83,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2015,north
YL-B78,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-B77,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2015,north
YL-B71,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
YL-B68,0,0,0,1,1,0,1,1,1,0,0,1,1,0,2015,north
YL-B66,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2015,north
YL-B60,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
YL-B59,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
YL-B50,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2015,north
YL-B48,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
YL-B46,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2015,north
RD-Y38,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2015,north
RD-Y37,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-Y36,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-Y35,0,0,0,0,0,1,1,1,1,0,0,1,1,0,2015,north
RD-Y34,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-Y28,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-Y26,0,0,0,0,1,0,1,0,1,1,0,1,1,0,2015,north
RD-Y25,0,0,0,0,1,0,1,0,0,0,0,1,1,0,2015,north
RD-X51,0,0,0,0,0,1,0,1,1,1,0,1,1,0,2015,north
RD-X48,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2015,north
RD-X42,0,0,0,0,1,1,0,0,1,1,0,1,1,0,2015,north
RD-X40,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-X38,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2015,north
RD-X37,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-X34,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-X32,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-X28,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2015,north
RD-X25,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-X24,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2015,north
RD-X23,0,0,0,0,0,0,1,1,1,1,0,1,1,0,2015,north
RD-X21,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-X13,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,north
RD-X12,0,0,0,0,1,1,1,1,1,0,0,1,1,0,2015,north
RD-X04,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2015,north
RD-X02,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2015,north
RD-W99,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-W96,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-W95,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W89,0,0,0,1,0,1,0,1,1,1,0,1,1,0,2015,north
RD-W88,0,0,1,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-W87,0,0,0,1,0,1,0,1,0,0,0,1,1,0,2015,north
RD-W86,0,0,1,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-W85,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W84,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2015,north
RD-W83,0,1,1,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-W79,0,0,1,1,1,0,0,1,0,0,0,1,1,0,2015,north
RD-W78,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-W77,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W76,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2015,north
RD-W75,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W74,0,0,0,1,1,1,1,0,0,1,0,1,1,0,2015,north
RD-W73,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W72,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-W69,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-W68,0,0,1,1,0,0,0,1,0,0,0,1,1,0,2015,north
RD-W67,0,1,0,0,0,0,1,1,1,0,0,1,1,0,2015,north
RD-W66,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-W65,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W64,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2015,north
RD-W63,0,0,1,1,0,0,1,0,0,0,0,1,1,0,2015,north
RD-W61,0,1,0,0,1,1,1,1,1,0,0,1,1,0,2015,north
RD-W59,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W58,0,0,0,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-W57,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-W56,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-W48,0,1,1,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-W45,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W43,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W39,0,1,1,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-W38,0,0,1,1,1,1,1,1,0,0,0,1,1,0,2015,north
RD-W36,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-W33,0,0,1,1,1,1,0,1,1,1,0,1,1,0,2015,north
RD-W30,0,0,0,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-W29,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W28,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2015,north
RD-W25,0,1,1,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-W24,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2015,north
RD-W19,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-W18,0,1,0,1,1,0,1,1,1,1,0,1,1,0,2015,north
RD-W17,0,1,0,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-W16,0,0,0,1,1,0,1,1,0,1,0,1,1,0,2015,north
RD-W15,0,0,1,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-W14,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-W12,0,1,1,0,0,0,1,1,1,1,0,1,1,0,2015,north
RD-W11,0,1,1,0,0,0,1,0,1,0,0,1,1,0,2015,north
RD-W09,1,1,1,1,1,1,1,0,0,0,0,1,1,0,2015,north
RD-W06,0,1,0,0,0,1,0,1,1,0,0,1,1,0,2015,north
RD-W01,0,1,1,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-V99,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-V75,0,0,0,1,1,1,0,1,0,1,0,1,1,0,2015,north
RD-V73,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-V69,0,0,0,0,0,0,1,1,0,1,0,1,1,0,2015,north
RD-V67,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2015,north
RD-V65,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2015,north
RD-V64,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-V61,0,1,0,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-V59,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2015,north
RD-V58,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-V52,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,north
RD-V51,0,0,0,0,1,1,0,1,1,0,0,1,1,0,2015,north
RD-V46,0,0,0,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-V45,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-V43,0,0,1,1,0,0,1,1,0,0,0,1,1,0,2015,north
RD-V40,0,0,0,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-V37,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2015,north
RD-V36,0,1,1,0,1,0,1,0,1,0,0,1,1,0,2015,north
RD-V33,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2015,north
RD-V30,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-V28,0,0,0,1,1,1,1,0,0,0,0,1,1,0,2015,north
RD-V26,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2015,north
RD-V25,0,0,1,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-V24,0,0,0,0,0,1,0,1,0,0,0,1,1,0,2015,north
RD-V23,0,1,1,1,0,0,0,0,0,1,0,1,1,0,2015,north
RD-V22,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2015,north
RD-V21,0,0,1,1,0,1,1,0,0,0,0,1,1,0,2015,north
RD-V20,0,0,1,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-V17,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2015,north
RD-V16,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-V15,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2015,north
RD-V11,0,0,0,1,1,1,0,1,0,0,0,1,1,0,2015,north
RD-V09,0,0,1,1,1,1,1,0,0,0,0,1,1,0,2015,north
RD-V08,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2015,north
RD-V06,0,0,0,1,1,1,1,0,0,0,0,1,1,0,2015,north
RD-V04,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-V03,0,0,0,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-V01,0,0,1,0,1,0,1,0,1,1,0,1,1,0,2015,north
RD-U99,0,0,1,1,1,1,1,1,0,0,0,1,1,0,2015,north
RD-U97,0,0,1,1,0,0,0,1,1,1,0,1,1,0,2015,north
RD-U96,0,0,0,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-U94,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-U91,0,0,0,1,0,1,1,1,1,1,0,1,1,0,2015,north
RD-U90,0,0,0,1,0,0,0,1,1,0,0,1,1,0,2015,north
RD-U89,0,0,0,1,1,1,0,1,1,0,0,1,1,0,2015,north
RD-U87,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-U81,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-U78,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2015,north
RD-U75,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-U69,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-U67,0,0,0,1,1,1,1,1,0,1,0,1,1,0,2015,north
RD-U66,0,0,1,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-U65,0,0,0,0,1,1,1,1,1,0,0,1,1,0,2015,north
RD-U62,0,0,0,1,1,1,1,0,0,0,0,1,1,0,2015,north
RD-U61,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-U59,0,0,1,0,0,0,0,1,1,0,0,1,1,0,2015,north
RD-U58,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-U57,0,0,0,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-U55,0,0,1,1,0,0,0,1,0,0,0,1,1,0,2015,north
RD-U54,0,0,1,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-U52,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-U49,0,1,1,0,0,1,0,1,1,0,0,1,1,0,2015,north
RD-U48,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-U46,0,0,1,1,0,0,1,1,1,1,0,1,1,0,2015,north
RD-U43,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-U39,0,0,1,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-U37,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-U33,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-U30,0,0,1,1,1,1,1,1,1,1,0,1,1,0,2015,north
RD-U28,0,0,1,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-U27,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-U25,0,0,1,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-U21,0,1,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-U20,0,1,1,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-U19,0,0,0,1,1,0,1,0,1,0,0,1,1,0,2015,north
RD-T99,0,1,1,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-T96,0,0,1,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-T90,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2015,north
RD-T69,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-T00,0,0,1,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-S99,0,0,0,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-S98,0,0,0,0,1,1,0,1,1,0,0,1,1,0,2015,north
RD-S96,0,0,1,1,1,1,0,1,1,0,0,1,1,0,2015,north
RD-S95,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-S94,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-S93,0,0,1,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-S91,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2015,north
RD-S90,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2015,north
RD-S89,0,0,0,1,0,0,0,1,0,0,0,1,1,0,2015,north
RD-S88,0,0,1,0,1,0,0,0,0,0,0,1,1,0,2015,north
RD-S85,0,0,0,1,1,0,0,1,0,1,0,1,1,0,2015,north
RD-S84,0,1,1,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-S83,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-S82,0,0,0,1,0,0,1,1,0,0,0,1,1,0,2015,north
RD-S81,0,0,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-S79,0,0,0,1,0,1,1,1,0,0,0,1,1,0,2015,north
RD-S78,0,0,1,1,1,0,0,1,0,0,0,1,1,0,2015,north
RD-S77,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2015,north
RD-S76,0,1,1,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-S75,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-S72,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-S71,0,0,1,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-S70,0,0,1,1,0,1,1,1,1,1,0,1,1,0,2015,north
RD-S69,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2015,north
RD-S68,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2015,north
RD-S67,0,0,1,1,1,0,0,1,0,0,0,1,1,0,2015,north
RD-S66,0,0,0,1,1,1,0,0,0,0,0,1,1,0,2015,north
RD-S64,0,0,1,0,0,0,0,1,1,1,0,1,1,0,2015,north
RD-S63,0,0,1,1,0,0,1,1,0,0,0,1,1,0,2015,north
RD-S62,0,0,1,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-S60,0,0,1,1,0,1,1,1,1,0,0,1,1,0,2015,north
RD-S59,0,0,1,1,0,1,1,0,1,0,0,1,1,0,2015,north
RD-S58,0,1,0,1,1,0,0,0,0,0,0,1,1,0,2015,north
RD-S57,0,0,0,1,1,0,0,1,1,1,0,1,1,0,2015,north
RD-S56,0,0,0,1,0,1,1,0,0,0,0,1,1,0,2015,north
RD-S55,0,0,1,1,1,0,1,1,0,1,0,1,1,0,2015,north
RD-S54,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2015,north
RD-S53,0,0,0,1,1,1,1,1,0,0,0,1,1,0,2015,north
RD-S51,1,0,0,1,0,0,1,0,0,0,0,1,1,0,2015,north
RD-S26,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2015,north
RD-S00,0,0,0,1,1,1,1,1,0,0,0,1,1,0,2015,north
RD-L32,0,0,0,0,0,1,0,1,0,1,0,1,1,0,2015,north
RD-L30,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2015,north
RD-L29,0,0,1,1,1,1,1,1,0,1,0,1,1,0,2015,north
RD-L28,0,0,0,1,1,1,1,1,0,0,0,1,1,0,2015,north
RD-L27,0,0,1,1,1,1,0,1,0,0,0,1,1,0,2015,north
RD-L24,0,0,0,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-L23,0,0,0,0,1,1,1,0,0,0,0,1,1,0,2015,north
RD-L22,0,0,0,0,1,0,1,0,1,1,0,1,1,0,2015,north
RD-L21,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2015,north
RD-L20,0,0,0,0,1,1,1,1,1,0,0,1,1,0,2015,north
RD-L16,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-L15,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2015,north
RD-L14,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2015,north
RD-L13,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2015,north
RD-L12,0,0,0,0,1,1,1,0,1,1,0,1,1,0,2015,north
RD-L11,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2015,north
RD-L10,0,0,0,0,1,1,0,1,0,0,0,1,1,0,2015,north
RD-L09,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-L08,0,0,0,1,0,1,1,1,0,1,0,1,1,0,2015,north
RD-L07,0,0,0,1,1,1,1,1,0,0,0,1,1,0,2015,north
RD-J98,0,0,0,1,0,0,1,1,1,0,0,1,1,0,2015,north
RD-J77,0,0,0,0,1,1,1,0,1,1,0,1,1,0,2015,north
RD-J75,0,0,0,0,0,0,0,1,1,1,0,1,1,0,2015,north
RD-J73,0,0,0,0,1,1,0,1,0,1,0,1,1,0,2015,north
RD-J72,0,0,0,1,1,1,1,1,1,0,0,1,1,0,2015,north
RD-J71,0,1,1,0,0,0,0,1,0,0,0,1,1,0,2015,north
RD-J70,0,0,0,1,0,0,1,0,0,0,0,1,1,0,2015,north
RD-J69,0,0,0,0,0,1,1,1,0,1,0,1,1,0,2015,north
RD-J68,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2015,north
RD-J67,0,0,1,1,1,0,1,0,0,0,0,1,1,0,2015,north
RD-J66,0,0,0,1,1,0,1,1,0,0,0,1,1,0,2015,north
RD-J64,0,1,1,0,1,1,1,1,1,0,0,1,1,0,2015,north
RD-J54,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2015,north
RD-J39,0,1,0,0,0,0,0,1,0,0,0,1,1,0,2015,north
DB-Z60,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2015,south
DB-Z57,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2015,south
DB-Z56,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2015,south
DB-Z55,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2015,south
DB-Z52,0,0,0,0,1,1,1,1,0,0,0,1,0,1,2015,south
DB-Z28,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2015,south
DB-Z26,0,0,0,0,1,1,1,0,1,0,0,1,0,1,2015,south
DB-Z21,0,0,0,0,0,1,1,0,1,0,0,1,0,1,2015,south
DB-Z20,0,0,0,0,0,1,1,0,0,0,0,1,0,1,2015,south
DB-Z19,0,0,0,0,1,0,1,1,0,0,0,1,0,1,2015,south
DB-Z18,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2015,south
DB-Z14,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
DB-Z13,0,0,0,0,0,1,1,1,1,1,0,1,0,1,2015,south
DB-Z12,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2015,south
DB-Z11,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2015,south
DB-Z10,0,0,0,0,0,0,1,1,1,1,0,1,0,1,2015,south
DB-Z08,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
DB-Y98,0,0,1,1,0,1,1,1,1,1,0,1,0,1,2015,south
DB-Y94,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
DB-Y93,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2015,south
DB-Y90,0,0,0,0,1,1,1,1,0,0,0,1,0,1,2015,south
DB-Y89,0,0,0,0,0,1,1,1,1,0,0,1,0,1,2015,south
DB-Y86,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,south
DB-Y84,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2015,south
DB-Y82,0,0,1,0,1,1,0,1,1,1,0,1,0,1,2015,south
DB-Y81,0,0,0,0,0,1,0,1,0,0,0,1,0,1,2015,south
DB-Y79,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2015,south
DB-Y78,0,0,1,0,0,0,1,0,0,0,0,1,0,1,2015,south
DB-Y77,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2015,south
DB-Y75,0,0,1,1,0,1,1,0,1,0,0,1,0,1,2015,south
DB-Y74,0,0,1,1,1,1,0,0,0,0,0,1,0,1,2015,south
DB-Y73,0,0,0,0,1,1,0,1,0,1,0,1,0,1,2015,south
DB-Y71,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2015,south
DB-Y70,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2015,south
DB-Y68,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2015,south
DB-Y66,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2015,south
DB-Y65,0,1,0,0,0,0,0,0,1,0,0,1,0,1,2015,south
DB-Y64,0,0,1,0,1,1,1,1,0,0,0,1,0,1,2015,south
DB-Y62,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2015,south
DB-Y61,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2015,south
